Feature_ID,Category,Feature_Name,Description,User_Role,Page / Screen,API Endpoint,HTTP Method,Auth Required,Notes
F-015,Profile,Upload Profile Photo,Upload or change profile picture shown in navbar and profile page,Student,profile.html,/api/auth/profile,PUT,Yes,Photo accepted as base64 or URL string; no server-side file upload
F-016,Profile,View Activity Statistics,Shows total requests submitted and completed count on profile page,Student,profile.html,/api/requests/stats,GET,Yes,Displayed as two stat chips on the profile screen
F-017,Document Requests,Submit Document Request,Student requests an official document: Marksheet / Bonafide / TC / Migration / Conduct / Provisional / Other,Student,requests.html / status.html,/api/requests,POST,Yes,Requires type and purpose; urgency is optional (Normal / Urgent / Emergency)
F-018,Document Requests,View Own Requests,List all document requests submitted by the logged-in student with current status,Student,requests.html,/api/requests,GET,Yes,Shows reference number / type / status / submitted date
F-019,Document Requests,Filter Requests by Status,Filter the request list by: All / Completed / In Progress / Pending tabs,Student,requests.html,—,—,Yes (client-side),Client-side filter on already-fetched data
F-020,Document Requests,Cancel Pending Request,Student cancels a request that is still in Submitted status,Student,requests.html,/api/requests/:id,DELETE,Yes,Only allowed if status is Submitted; cannot cancel once processing starts
F-021,Document Requests,View Request Progress Timeline,Visual step-by-step timeline of a request: Submitted → Under Review → Processing → Ready → Completed,Student,status.html,/api/requests,GET,Yes,Displays step indicators with current active step
F-022,Document Requests,View All Requests (Admin),Admin sees every student's document requests in a table,Admin,admin-requests.html / admin.html,/api/requests,GET,Yes,Admin filter returns all requests; student filter returns only own
F-023,Document Requests,Update Request Status (Admin),Admin updates a request status with optional remarks; triggers email notification to student,Admin,admin-requests.html / admin.html,/api/requests/:id/status,PUT,Yes,Valid statuses: Submitted / Under Review / Processing / Ready for Collection / Completed / Rejected
F-024,Document Requests,Filter Requests by Tab (Admin),Admin filters request list: All / Submitted / Processing / Ready / Completed tabs,Admin,admin-requests.html,—,—,Yes (client-side),Client-side tab filter
F-025,Leave Management,Apply for Leave,Student submits a leave application with leave type / date range / reason / department / semester,Student,leave.html,/api/leave,POST,Yes,Leave types: Medical / Personal / OD / Emergency / Family Function
F-026,Leave Management,View Leave History,Student views all own leave applications with current status,Student,leave.html,/api/leave,GET,Yes,Sorted by newest first
F-027,Leave Management,Cancel Pending Leave,Student cancels a leave application that is still in Pending status,Student,leave.html,/api/leave/:id,DELETE,Yes,Only allowed while status is Pending
F-028,Leave Management,Apply for OD (On-Duty),Student submits an OD request with event type / event name / venue / date range / supporting document,Student,od.html,/api/leave,POST,Yes,OD is stored as a leave record with leaveType OD; uses same /api/leave endpoint
F-029,Leave Management,View All Leave Applications (Admin),Admin sees all leave applications from all students,Admin,admin-leaves.html / admin.html,/api/leave,GET,Yes,Admin filter returns all; student filter returns own only
F-030,Leave Management,Approve Leave (Admin),Admin approves a leave application; triggers email notification to student,Admin,admin-leaves.html / admin.html,/api/leave/:id/status,PUT,Yes,Sets status to Approved; stores approvedBy admin name
F-031,Leave Management,Reject Leave (Admin),Admin rejects a leave application with optional remarks; triggers email notification,Admin,admin-leaves.html / admin.html,/api/leave/:id/status,PUT,Yes,Sets status to Rejected; stores remarks
F-032,Leave Management,Filter Leaves by Status (Admin),Admin filters leave list by: All / Pending / Approved / Rejected,Admin,admin-leaves.html,—,—,Yes (client-side),Client-side tab filter
F-033,Notices,View Active Notices,Student sees all active college announcements/notices sorted by pinned then newest,Student,notices.html,/api/notices,GET,Yes,Students see only isActive=true notices; admin sees all
F-034,Notices,Filter Notices by Category,Filter notices by: All / Exam / Fee / General / Urgent category buttons,Student,notices.html,/api/notices?category=X,GET,Yes,Category filter sent as query param to API
F-035,Notices,Mark Notice as Read,Client-side marking of individual notices as read (unread dot disappears),Student,notices.html,—,—,Yes (client-side),No server-side read-status; stored in localStorage
F-036,Notices,Create Notice (Admin),Admin posts a new notice with title / content / category / optional expiry / pin option,Admin,admin-notices.html / admin.html,/api/notices,POST,Yes,stripHtml() strips script tags from title and content before saving
F-037,Notices,Edit Notice (Admin),Admin edits an existing notice's title / content / category / pinned status,Admin,admin-notices.html / admin.html,/api/notices/:id,PUT,Yes,HTML stripped on updated title and content
F-038,Notices,Delete Notice (Admin),Admin permanently deletes a notice,Admin,admin-notices.html / admin.html,/api/notices/:id,DELETE,Yes,No soft-delete; permanent removal
F-039,Notices,Pin Notice to Top (Admin),Admin pins a notice so it appears at the top of the list for all students,Admin,admin-notices.html,/api/notices/:id,PUT,Yes,Sets pinned=true; pinned notices sorted first
F-040,Chat / AI Bot,Chat with Bot,Student sends a text message and receives a response from the AI bot or keyword fallback,Student,chat.html,/api/chat,POST,Yes,Uses Claude Haiku if ANTHROPIC_API_KEY is set; falls back to keyword matcher
F-041,Chat / AI Bot,Quick Action Buttons,Pre-filled topic buttons: Exam Info / Fees / Marksheet / Library / Timetable / Leave / Contact / Help,Student,chat.html,/api/chat,POST,Yes,Clicking a button sends a preset message to the chat endpoint
F-042,Chat / AI Bot,Text-to-Speech Toggle,Toggle browser TTS to read bot responses aloud,Student,chat.html,—,—,Yes (client-side),Uses browser SpeechSynthesis API; no server call
F-043,Chat / AI Bot,Clear Chat History,Clear all chat messages from the current session,Student,chat.html,—,—,Yes (client-side),No server-side chat persistence; cleared from DOM only
F-044,Exam,View Exam Schedule,View full theory exam schedule: date / subject / session / subject code,Student,exam.html,/api/exam/schedule,GET,Yes,Fetches from Exam model; data seeded by admin
F-045,Exam,View Practical Schedule,View practical exam schedule: date / subject / lab,Student,exam.html,/api/exam/practicals,GET,Yes,Separate endpoint from theory schedule
F-046,Exam,View Hall Ticket Status,Shows whether hall ticket is available and download link,Student,exam.html,/api/exam,GET,Yes,Hall ticket availability derived from exam record
F-047,Exam,Download Hall Ticket,Button to download/print the hall ticket for the current semester exams,Student,exam.html,—,—,Yes (client-side),Static action; no server-side hall ticket generation
F-048,Exam,Create Exam Schedule (Admin),Admin creates/replaces the exam schedule for the current semester,Admin,—,/api/exam,POST,Yes,Full req.body passed to Exam.create(); no field whitelist
F-049,Exam,Update Exam Schedule (Admin),Admin updates an existing exam record by ID,Admin,—,/api/exam/:id,PUT,Yes,runValidators: true on update
F-050,Fees,View Fee Summary,Student views total fee / amount paid / balance / due date / late fine,Student,fees.html,/api/fees,GET,Yes,Computed from payment history; balance = total − amountPaid
F-051,Fees,View Fee Breakdown,Itemised list of fee components: Tuition / Lab / Library / Exam fees,Student,fees.html,/api/fees,GET,Yes,Stored as components array in Fee model
F-052,Fees,View Payment History,Table of all recorded payments: date / description / amount / mode / transaction ID,Student,fees.html,/api/fees,GET,Yes,history array from Fee document
F-053,Fees,Record Fee Payment,Student records a payment entry with amount / payment mode / transaction ID,Student,fees.html,/api/fees/payment,POST,Yes,No gateway verification; any amount accepted — confirmed security vulnerability
F-054,Fees,Download Fee Receipt,Button to download or print payment receipt,Student,fees.html,—,—,Yes (client-side),Static print action; no server-side PDF generation
F-055,Fees,View All Fee Records (Admin),Admin views fee records for all students with student details,Admin,—,/api/fees/all,GET,Yes,Populates student name / ID / department
F-056,Library,Browse Book Catalog,View all library books with search and category filter,Student,library.html,/api/library,GET,Yes,Search by title or author; filter by category or availability status
F-057,Library,Search Books,Search book catalog by title or author keyword,Student,library.html,/api/library?search=X,GET,Yes,Uses MongoDB regex on title and author fields
F-058,Library,Filter Books by Category,Filter catalog by: IT / AI/ML / Java / DBMS / Python / Math category buttons,Student,library.html,/api/library?category=X,GET,Yes,Passed as query param to API
F-059,Library,View Borrowed Books,Student views their own currently borrowed books with due dates,Student,library.html,/api/library/borrowed,GET,Yes,Filters by student._id and status not Returned
F-060,Library,Request Book Renewal,Student requests renewal of a borrowed book; librarian confirms within 24 hours,Student,library.html,/api/library/renew/:borrowId,POST,Yes,Server confirms the borrow record belongs to the requesting student
F-061,Library,View Library Hours,View opening hours: Mon–Fri / Saturday / Sunday / Holidays,Student,library.html,/api/library/hours,GET,Yes,Static data returned from route handler
F-062,Library,View Borrowing Rules,Display: borrow limit 3 books / 14-day loan / ₹2/day fine policy,Student,library.html,—,—,Yes (client-side),Static info card; no API call
F-063,Library,Add Book (Admin),Admin adds a new book to the library catalog,Admin,—,/api/library,POST,Yes,req.body passed directly to Book.create()
F-064,Library,Update Book (Admin),Admin updates book details or availability status,Admin,—,/api/library/:id,PUT,Yes,runValidators: true; req.body passed to findByIdAndUpdate
F-065,Timetable,View Weekly Timetable,7-column weekly schedule table with subjects per period slot,Student,timetable.html,/api/timetable,GET,Yes,Fetches timetable matching student's department and semester
F-066,Timetable,View Today's Schedule,Shows only today's class slots with subject names and times,Student,timetable.html,/api/timetable/today,GET,Yes,Derived from schedule[today] array in timetable document
F-067,Timetable,Print Timetable,Browser print action for the weekly timetable,Student,timetable.html,—,—,Yes (client-side),Calls window.print(); no server involvement
F-068,Timetable,Create Timetable (Admin),Admin creates a new timetable for a department/semester combination,Admin,—,/api/timetable,POST,Yes,Full req.body passed to Timetable.create()
F-069,Timetable,Update Timetable (Admin),Admin updates an existing timetable by ID,Admin,—,/api/timetable/:id,PUT,Yes,runValidators: true
F-070,Attendance,View Overall Attendance,Circular percentage indicator showing overall attendance across all subjects,Student,attendance.html,/api/attendance/summary,GET,Yes,Colour-coded: green ≥75% / yellow 60–74% / red <60%
F-071,Attendance,View Subject-wise Attendance,Per-subject breakdown: total classes / present / absent / late / percentage bar,Student,attendance.html,/api/attendance/summary,GET,Yes,Returned as summary array in response
F-072,Attendance,View Recent Attendance Records,Table of recent attendance entries: date / subject / status / marked-by,Student,attendance.html,/api/attendance,GET,Yes,Limited to 100 most recent records; sorted by date descending
F-073,Attendance,View Another Student's Attendance (Admin),Admin passes ?studentId query param to fetch any student's attendance,Admin,attendance.html,/api/attendance/summary?studentId=X,GET,Yes,Checks role===admin before using query param; students always see own data
F-074,Attendance,Mark Attendance (Admin),Admin marks a single attendance record: studentId / subject / date / status,Admin,—,/api/attendance,POST,Yes,Looks up student by studentId; creates Attendance document
F-075,Attendance,Bulk Mark Attendance (Admin),Admin uploads an array of attendance records in one request,Admin,—,/api/attendance/bulk,POST,Yes,Iterates records array; skips unknown studentIds silently
F-076,Contact,View Department Contacts,Cards showing phone / email / office hours for 6 departments,Student,contact.html,—,—,Yes (client-side),Static info; no API call
F-077,Contact,Send Message to Office,Student submits a contact form: department / subject / message,Student,contact.html,/api/contact,POST,Yes,Creates Contact document; associates with logged-in user
F-078,Contact,View FAQ Section,Expandable FAQ accordion with 5 common questions,Student,contact.html,—,—,Yes (client-side),Static content; no API
F-079,Contact,View All Contact Messages (Admin),Admin views all contact messages from all students sorted by newest,Admin,admin.html,/api/contact,GET,Yes,Returns full contact document with student details
F-080,Contact,Mark Message Resolved (Admin),Admin marks a contact message as Resolved,Admin,admin.html,/api/contact/:id/resolve,PUT,Yes,Sets status=Resolved on Contact document
F-081,Events,View Active Events,List of upcoming events with title / date / venue / capacity / organiser,Student,events.html,/api/events,GET,Yes,Only events with isActive=true are returned; sorted by date ascending
F-082,Events,Filter Events by Category,Filter event list by: All / Technical / Cultural / Sports / Workshop / Seminar,Student,events.html,—,—,Yes (client-side),Client-side filter on fetched events data
F-083,Events,Register for Event,Student registers for an event; increments registration count,Student,events.html,/api/events/:id/register,POST,Yes,Checks seats available and not already registered before pushing user ID
F-084,Events,Unregister from Event,Student removes their registration from an event,Student,events.html,/api/events/:id/register,DELETE,Yes,Filters out student's ID from registrations array
F-085,Events,Create Event (Admin),Admin creates a new event with title / description / date / seats / category,Admin,—,/api/events,POST,Yes,Full req.body passed to Event.create()
F-086,Events,Update Event (Admin),Admin edits event details or toggles isActive flag,Admin,—,/api/events/:id,PUT,Yes,runValidators: true
F-087,Events,Delete Event (Admin),Admin permanently deletes an event,Admin,—,/api/events/:id,DELETE,Yes,Permanent removal via findByIdAndDelete
F-088,CGPA Calculator,View Calculated CGPA,Displays computed cumulative GPA with grade label (Distinction / First Class etc.),Student,cgpa.html,—,—,Yes (client-side),Fully client-side calculation; no API involved
F-089,CGPA Calculator,Add Semester,Add a new semester block with subjects to the calculator,Student,cgpa.html,—,—,Yes (client-side),Dynamic DOM manipulation
F-090,CGPA Calculator,Add Subject to Semester,Add a subject entry with name / credits / grade to a semester,Student,cgpa.html,—,—,Yes (client-side),Grade converted to grade point; weighted average computed
F-091,CGPA Calculator,Delete Subject,Remove a specific subject from a semester block,Student,cgpa.html,—,—,Yes (client-side),Recalculates GPA on removal
F-092,CGPA Calculator,Remove Semester,Delete an entire semester block from the calculator,Student,cgpa.html,—,—,Yes (client-side),All subjects in that semester removed
F-093,CGPA Calculator,Reset All Semesters,Clear all semesters and reset CGPA to zero,Student,cgpa.html,—,—,Yes (client-side),Wipes all calculator state
F-094,CGPA Calculator,View Grade Reference Table,Static table showing letter grades and corresponding grade points,Student,cgpa.html,—,—,Yes (client-side),O=10 / A+=9 / A=8 / B+=7 / B=6 / C=5 / F=0
F-095,Student Management,View All Students (Admin),Admin views paginated list of all students with dept / semester / email / status filters,Admin,student-search.html,/api/students,GET,Yes,Supports ?dept / ?semester / ?search query params; excludes passwords
F-096,Student Management,Search Students (Admin),Admin searches students by name or register number keyword,Admin,student-search.html,/api/students/search/:query,GET,Yes,Regex search on name and studentId fields; limited to 20 results
F-097,Student Management,View Student Profile (Admin),Admin views a specific student's full profile by MongoDB ID,Admin,student-search.html,/api/students/:id,GET,Yes,Returns all fields except password
F-098,Student Management,Update Student Profile (Admin),Admin updates any student's name / phone / semester / department / isActive / role,Admin,student-search.html,/api/students/:id,PUT,Yes,Admin can set role field (student↔admin) and isActive flag; student can only edit own name/phone/semester
F-099,Student Management,Deactivate / Activate Student (Admin),Admin sets isActive=false to disable login or isActive=true to re-enable,Admin,student-search.html,/api/students/:id,PUT,Yes,Deactivated students receive 403 on login; token revocation not implemented
F-100,Email Notifications,Request Status Email,Email sent to student when admin updates a document request status,Student (recipient),—,Triggered by PUT /api/requests/:id/status,—,Yes (admin action),Uses nodemailer with Gmail; includes request type / ref number / new status / remarks
F-101,Email Notifications,Leave Decision Email,Email sent to student when admin approves or rejects a leave application,Student (recipient),—,Triggered by PUT /api/leave/:id/status,—,Yes (admin action),Includes leave type / from–to dates / decision / remarks / approver name
F-102,Rate Limiting,Auth Rate Limit,Login and register endpoints limited to 20 requests per 15 minutes per IP,All,—,/api/auth/login + /api/auth/register,—,No,Prevents brute-force credential attacks
F-103,Rate Limiting,Global API Rate Limit,All /api/* routes limited to 150 requests per minute per IP,All,—,/api/*,—,No,Returns 429 Too Many Requests on breach; skips OPTIONS preflight
F-104,Security,JWT Authentication,Every protected route verifies Bearer token via jsonwebtoken library,All,—,All protected routes,—,Yes,Token signed with HS256; 30-day expiry; no revocation endpoint
F-105,Security,Password Hashing,Passwords hashed with bcrypt at cost factor 12 before storage,All,—,—,—,No,Mongoose pre-save hook handles hashing automatically
F-106,Security,Helmet Security Headers,HTTP security headers added via helmet middleware (except CSP which is disabled),All,—,—,—,No,X-Frame-Options / X-XSS-Protection / HSTS etc. active; CSP disabled for CDN compatibility
F-107,Security,Input Validation,express-validator validates register and login request bodies,All,register.html / login.html,/api/auth/register + /api/auth/login,POST,No,Validates name / email / studentId / password fields
F-108,Security,HTML Stripping on Notices,stripHtml() function removes all HTML tags from notice title and content before saving,Admin,—,/api/notices,POST + PUT,Yes,Prevents stored XSS via notice content
F-109,Static Files,SPA Fallback,Express serves all HTML pages as static files; unknown paths fall back to index.html,All,—,GET *,GET,No,Static files served from project root directory
F-110,Navigation,Sidebar Navigation,Collapsible sidebar with links to all student pages; shows active page highlight,Student,All student pages,—,—,Yes (client-side),Mobile-responsive; hamburger toggle on small screens
F-111,Navigation,Topbar / Navbar,Top bar showing page title / user initial / theme toggle on all pages,Student / Admin,All pages,—,—,Yes (client-side),Shows first letter of user's name as avatar
F-112,Navigation,Mobile Responsive Layout,All pages adapt to mobile screen sizes with stacked layout and touch-friendly controls,Student / Admin,All pages,—,—,—,Hamburger nav on mobile; grid collapses to single column
