question,intent,role,entities,category,expected_response
assign a subject to a slot,admin_manage_timetable,admin,,General,"You build a timetable per department, semester, section and academic year, with the period slots and the subject in each. It starts as a draft, can be checked for clashes, then published so students and faculty see it, and archived when superseded."
what is dragging my score down,performance_summary,student,,Placements,"Your Student Success Score is out of 100 and combines attendance health, academic performance (CGPA and backlogs), placement readiness and engagement. I can give you the score, the sub-scores and the top recommendation for improving it. It's on your dashboard."
what is my overall attendence for this semester,attendance_check,student,,Attendance,"I can show your overall attendance percentage, calculated across every session recorded for you (Late is counted as present). The college requires a minimum of 75% per subject. Full details are on the Attendance page of your student portal."
"hello, reject with a reason",faculty_approve_leave,faculty,,General,"Leave and OD applications from students appear in your faculty portal, where you can approve or reject them and add remarks. Your decision and name are recorded against the application."
attendance for all my subjects,attendance_subject_wise,student,,Attendance,"I can break your attendance down subject by subject and show which subject is lowest, since the 75% rule applies per subject. The subject-wise table is on the Attendance page."
"hello, i made an online transfer what next",fees_payment,parent,certificate_type=Transfer Certificate;payment_mode=Online,Fees,"You record a payment from the Fees page by entering the amount, the mode (Online, DD, Cash or NEFT) and the transaction reference. That creates an entry in your payment history which the Accounts Office then verifies. The portal records payments — it does not process them through a payment gateway."
which subject exam is on Thursday,exam_schedule,student,day=Thursday,Exams,"I can give you the published exam schedule for your semester — the theory start and end dates, and the date, subject code and session for each paper. Only published schedules are visible. The Exam page has the full table plus the instructions."
what is my roll number,profile_view,student,,General,"Your profile holds your name, student ID, email, department, year, semester, section, phone, photo and your parent/guardian details. You can view it all on the Profile page."
"kindly let me know, who is the hod for computer science",faculty_hod,parent,,Faculty,"I can identify the Head of Department for your department — or for any department you name — with their designation, email and office location."
btw hi there,greeting,admin,,General,"Hello! I'm Campus HelpDesk, your college assistant. I can help with attendance, marks and CGPA, timetable, exams, fees, leave and OD, certificates, library, notices, events, faculty contacts and placements. What would you like to know?"
i wish to speak to my ward's teacher,parent_ward_progress,parent,,General,"The portal does not have a separate parent login — your ward's attendance, marks, CGPA and fee status are visible when they sign in to their own student account. Your contact details are held on their record. For anything you'd like to raise directly, use the Contact page to reach the Admin Office, the Accounts Office or the HOD, who reply within 1-2 working days."
show me my grades,marks_view,student,,Marks,"I can show your internal marks (out of 40), external marks (out of 60) and the total out of 100 for each subject, along with the grade. The pass mark is 50. Marks a faculty member has entered stay hidden until they are published. See the Results page for the full mark sheet."
homework grading,faculty_assignments_manage,faculty,,General,"You can create assignments with a title, subject, due date and maximum marks, view the submissions from your students, download what they attached, and grade each submission with marks and remarks."
is the result out for semester 8,results_status,student,semester=8,Marks,"Results appear once a faculty member publishes the marks they entered; until then they stay hidden. If a subject is missing from your results page, the marks have not been published yet — check the Notices page for the result announcement or contact the Examination Cell."
did i approve this leave already,faculty_approve_leave,faculty,,General,"Leave and OD applications from students appear in your faculty portal, where you can approve or reject them and add remarks. Your decision and name are recorded against the application."
admit card,exam_hall_ticket,student,,Exams,"The published exam record carries a hall ticket availability date. Once that date arrives, the hall ticket becomes available on the Exam page. Hall tickets are usually withheld if there is a pending fee balance or an attendance shortage, so clear those first."
lecture notes for Operating Systems,coursework_materials,student,subject=Operating Systems,General,"Faculty upload study materials — notes, question banks and reference files — for your subject, department and semester. I can list what is available and you can download them from the Coursework page."
"can you help me, balance not reduced after payment",fees_verification,student,,Fees,"Every payment you record starts as unverified. The Accounts Office checks it against the bank record and marks it verified, after which your balance reflects it. If a payment has been sitting unverified, contact the Accounts Office through the Contact page."
is bioinformatics offered here,departments_list,student,department=Bioinformatics,General,"The college has departments including Information Technology, Computer Science and Engineering, Artificial Intelligence and Machine Learning, Artificial Intelligence and Data Science, Bioinformatics, Electronics and Communication, Electrical and Electronics, Mechanical and Civil Engineering."
what is my success score,performance_summary,student,,Placements,"Your Student Success Score is out of 100 and combines attendance health, academic performance (CGPA and backlogs), placement readiness and engagement. I can give you the score, the sub-scores and the top recommendation for improving it. It's on your dashboard."
am i holding any libary book,library_borrowed,student,,General,"I can list the books you currently have on loan with their borrowed date, due date and status — Active, Returned or Overdue. Your loans are shown on the Library page."
"kindly let me know, find a request by reference number",admin_process_requests,admin,,General,"Document requests come in as Submitted and you move them through Under Review, Processing, Ready for Collection and Completed, or Reject them with remarks. Each has a unique reference number and the student is notified of the change."
what skills does Cognizant screen for,placement_skills,student,company=Cognizant,Placements,"I compare the skills on your profile against the skills recruiters screen for, grouped as Programming, CS Fundamentals, Web & Cloud, and Aptitude & Soft skills, and show your coverage plus the gaps to close."
timetable,timetable_weekly,student,,General,"I can show your full published weekly timetable for your department, semester and section, with the period slots and the subject in each. Draft timetables are not visible until an admin publishes them."
is the result out for semister 2,results_status,student,,Marks,"Results appear once a faculty member publishes the marks they entered; until then they stay hidden. If a subject is missing from your results page, the marks have not been published yet — check the Notices page for the result announcement or contact the Examination Cell."
libray due date,library_borrowed,faculty,,General,"I can list the books you currently have on loan with their borrowed date, due date and status — Active, Returned or Overdue. Your loans are shown on the Library page."
what department am i in,profile_view,student,,General,"Your profile holds your name, student ID, email, department, year, semester, section, phone, photo and your parent/guardian details. You can view it all on the Profile page."
reverse a veriffication,admin_verify_fees,admin,,Fees,"Payments students record show up unverified. From the admin fee view you check each against the bank record and mark it verified, which updates the student's balance. You can also see every student's fee status."
target a notice to one department,admin_publish_notice,admin,,General,"You create a notice with a title, content, category and audience. It can be saved as a draft, published, pinned to the top, given an expiry date, or archived. The summarizer generates a summary, key dates, action items and a priority for it."
what's my chance of getting placed,placement_readiness,student,,Placements,"Your placement readiness score weights Academics (CGPA) 40%, Technical Skills 25%, Attendance 20% and Projects 15%, and comes with a risk level. I can show the breakdown and what to strengthen first."
which subject has my lowest attendance,attendance_subject_wise,student,,Attendance,"I can break your attendance down subject by subject and show which subject is lowest, since the 75% rule applies per subject. The subject-wise table is on the Attendance page."
how do i correct my departmetn,profile_update,student,,General,"You can update your phone number, photo and parent/guardian details from the Profile page. Core academic fields like your student ID, department and semester are maintained by the administration — contact the Admin Office to have those corrected."
hall ticket not showing,exam_hall_ticket,student,,Exams,"The published exam record carries a hall ticket availability date. Once that date arrives, the hall ticket becomes available on the Exam page. Hall tickets are usually withheld if there is a pending fee balance or an attendance shortage, so clear those first."
"hello, can i see the medical certificate attached",faculty_approve_leave,faculty,leave_type=Medical Leave,General,"Leave and OD applications from students appear in your faculty portal, where you can approve or reject them and add remarks. Your decision and name are recorded against the application."
signup closed,events_register,student,,General,"You register for an event from the Events page. Seats are capped — if the cap is reached you'll be told the event is full, and you can't register twice for the same event. You can also unregister if you change your mind."
can i keep it longer,library_borrowed,student,department=IT,General,"I can list the books you currently have on loan with their borrowed date, due date and status — Active, Returned or Overdue. Your loans are shown on the Library page."
perfect thank you,thanks_goodbye,student,,General,"You're welcome! Come back any time you need help with attendance, fees, exams, certificates or anything else on the portal."
"good morning, document request",certificate_request,alumni,,General,"You can request a Bonafide Certificate, Transfer Certificate, Migration Certificate, Conduct Certificate, Provisional Certificate, a Marksheet or another document from the Requests page, stating the purpose and an urgency of Normal, Urgent or Emergency. Each request gets a unique reference number."
i am an alumnus how do i get my certificate,alumni_records,alumni,,General,"There is no separate alumni login — the portal serves current students, faculty and staff. For a Provisional Certificate, a Transfer Certificate or a duplicate marksheet after graduation, contact the Admin Office through the Contact page and they will process it for you."
"can you help me, academic schedule for this year",academic_calendar,parent,,General,"The academic calendar lists holidays, exam windows, deadlines, semester boundaries and events with their dates. I can tell you what is coming up; the full calendar is on the Calendar page."
"hi, frequently asked questions",knowledge_base_query,parent,,General,"I can search the college knowledge base — regulations, handbooks, academic rules, placement policy and FAQs — and answer with the relevant section, citing the document it came from."
display the git repository,out_of_scope_technical,faculty,,General,"I'm the Campus HelpDesk assistant, so I only help with college services — attendance, marks, fees, exams, certificates, library, notices and the like. I can't discuss how the portal is built or maintained. If something on the portal isn't working, report it to the Admin Office through the Contact page."
pull up the events,events_list,visitor,,General,"I can list upcoming campus events with their category — Technical, Cultural, Sports, Workshop or Seminar — plus the date, time, venue, organizer and how many seats are left. The Events page has the full list."
"just checking, my password is not being accepted",login_help,student,,General,"Everyone signs in at the single login page using their registered email or ID and password — the portal detects whether you are a student, faculty member or administrator and takes you to the right dashboard. After 10 failed attempts the account is locked for 15 minutes."
what amount of is left to pay,fees_balance,parent,,Fees,"I can show your fee record for the semester — the component-wise breakdown, the total, how much is paid, the outstanding balance, the due date and any late fine. The full statement is on the Fees page."
is the campus open to public,visitor_campus_info,visitor,,General,"I mainly serve signed-in students, faculty and staff. For general enquiries — visiting the campus, meeting a department or reaching an office — you can use the Contact page to message the Admin Office, and the library is open Monday to Friday 8:00 AM to 6:00 PM and Saturday 9:00 AM to 4:00 PM."
what else can you do,bot_capabilities,admin,,General,"I'm the Campus HelpDesk assistant. I can answer questions about attendance, marks, CGPA and backlogs, timetable, exam schedules and hall tickets, fees and payments, leave and OD, certificate requests, library books and hours, notices, events, faculty and HOD contacts, your profile, placement readiness and eligibility, and the college knowledge base. I answer from your own records, so sign in first."
assignment update,coursework_assignments,student,,General,"I can list the assignments your faculty have posted for your department, semester and section — with the title, subject, due date and maximum marks — and tell you whether you have submitted. You submit text or a file attachment from the Coursework page; faculty then grade it and add remarks."
when are semester results declared,results_status,student,,Marks,"Results appear once a faculty member publishes the marks they entered; until then they stay hidden. If a subject is missing from your results page, the marks have not been published yet — check the Notices page for the result announcement or contact the Examination Cell."
result not published yet,results_status,student,,Marks,"Results appear once a faculty member publishes the marks they entered; until then they stay hidden. If a subject is missing from your results page, the marks have not been published yet — check the Notices page for the result announcement or contact the Examination Cell."
target exam schedule to a department,admin_publish_exam,admin,,Exams,"You create an exam record for a semester and academic year with theory dates, the paper-by-paper schedule, practicals, a hall ticket availability date and instructions. Students see it only after you publish it, and you can archive it later."
"just checking, placement statistics",placement_companies,student,,Placements,"The placement catalogue covers recruiters including TCS, Wipro, Capgemini, Infosys, Cognizant, Accenture, Zoho, Freshworks, Amazon and Microsoft, with the role, sector, CTC and eligibility gates for each. I can also rank the best matches for your profile."
"just checking, show Seminar events",events_list,student,event_category=Seminar,General,"I can list upcoming campus events with their category — Technical, Cultural, Sports, Workshop or Seminar — plus the date, time, venue, organizer and how many seats are left. The Events page has the full list."
merit scholarshp details,scholarship_info,student,,Scholarships,"Scholarship information is available from the college knowledge base documents. There is no scholarship application module in the portal — I can share what the uploaded scholarship documents say, and applications are handled by the Admin Office. Note that a Bonafide Certificate for a scholarship application can be requested from the Requests page."
"actually, show upcoming events",events_list,student,,General,"I can list upcoming campus events with their category — Technical, Cultural, Sports, Workshop or Seminar — plus the date, time, venue, organizer and how many seats are left. The Events page has the full list."
am i lacking attendance,attendance_shortage,student,,Attendance,"I compare your attendance against the 75% minimum and flag any subject you have fallen short in. Below 75% is high risk, 75-85% is medium and above 85% is low risk. If you are short, the Attendance page shows how many sessions you need to recover, and you should raise it with your class advisor."
history of changes,admin_audit_log,admin,,General,"Administrative actions are written to a tamper-evident audit log with the actor, action, entity, a contextual snapshot, a timestamp and a hash chain. You can review it from the admin portal."
new circular,notices_latest,faculty,,General,"I can show the latest published notices, with pinned ones first. Each notice carries a category, an AI-generated summary, key dates and action items. The full list is on the Notices page."
"just checking, any hackathon coming up",events_list,student,,General,"I can list upcoming campus events with their category — Technical, Cultural, Sports, Workshop or Seminar — plus the date, time, venue, organizer and how many seats are left. The Events page has the full list."
which boiks can i borrow,library_search,faculty,,General,"I can search the library catalogue by title, author or category and tell you whether a copy is Available, Borrowed or Reserved, along with the number of copies. Browse the full catalogue on the Library page."
upload material for semister 8,faculty_materials_upload,faculty,,General,"You can upload study materials — notes, question banks or reference files — against a subject, department, semester and section, and your students can then download them from their Coursework page."
reactivate a rejected student,admin_approve_students,admin,skill=React,General,"New self-registrations arrive as Pending in the admin portal. You can approve them, which lets the student log in, or reject them with a reason. Every decision is recorded with your name and the timestamp."
what is the way to publish results,faculty_enter_marks,faculty,,Marks,You enter internal marks (out of 40) and external marks (out of 60) for your assigned subjects; the grade and grade point are computed automatically. Marks stay hidden from students until you publish them.
quick question - add a subject to the exam schedule,admin_publish_exam,admin,,Exams,"You create an exam record for a semester and academic year with theory dates, the paper-by-paper schedule, practicals, a hall ticket availability date and instructions. Students see it only after you publish it, and you can archive it later."
profile page,profile_view,faculty,,General,"Your profile holds your name, student ID, email, department, year, semester, section, phone, photo and your parent/guardian details. You can view it all on the Profile page."
what time does the Digital Electronics lab exam happen,exam_practicals,student,subject=Digital Electronics,Exams,"The published exam record lists practical exams separately with the date, subject, lab and time. You'll find the practicals table alongside the theory schedule on the Exam page."
when is the fees due date,fees_due_date,student,,Fees,Your fee record carries a due date and a late fine amount. If payment goes past the due date the late fine applies. I can tell you the due date on your record; it is also shown on the Fees page.
can you do anything else,fallback_unsupported,student,,General,"I couldn't match that to anything the portal handles. I can help with attendance, marks and CGPA, timetable, exams, fees, leave and OD, certificates, library, notices, events, faculty contacts, your profile and placements. For anything else, the Contact page will reach the right office and you'll get a reply within 1-2 working days."
what streams can i join,departments_list,student,,General,"The college has departments including Information Technology, Computer Science and Engineering, Artificial Intelligence and Machine Learning, Artificial Intelligence and Data Science, Bioinformatics, Electronics and Communication, Electrical and Electronics, Mechanical and Civil Engineering."
"kindly let me know, what role does Capgemini offer",placement_companies,parent,company=Capgemini,Placements,"The placement catalogue covers recruiters including TCS, Wipro, Capgemini, Infosys, Cognizant, Accenture, Zoho, Freshworks, Amazon and Microsoft, with the role, sector, CTC and eligibility gates for each. I can also rank the best matches for your profile."
can i apply online,admission_enquiry,parent,payment_mode=Online,Admissions,"The portal doesn't have an online admissions module — it serves enrolled students, faculty and staff. Any admissions information we hold comes from the college knowledge base documents, and admission enquiries should go to the Admin Office through the Contact page."
can i extend the assignmebt due date,faculty_assignments_manage,faculty,,General,"You can create assignments with a title, subject, due date and maximum marks, view the submissions from your students, download what they attached, and grade each submission with marks and remarks."
examination publishing workflow,admin_publish_exam,admin,,Exams,"You create an exam record for a semester and academic year with theory dates, the paper-by-paper schedule, practicals, a hall ticket availability date and instructions. Students see it only after you publish it, and you can archive it later."
i am a parent how do i log in,parent_ward_progress,parent,,General,"The portal does not have a separate parent login — your ward's attendance, marks, CGPA and fee status are visible when they sign in to their own student account. Your contact details are held on their record. For anything you'd like to raise directly, use the Contact page to reach the Admin Office, the Accounts Office or the HOD, who reply within 1-2 working days."
what sector is Infosys in,placement_companies,student,company=Infosys,Placements,"The placement catalogue covers recruiters including TCS, Wipro, Capgemini, Infosys, Cognizant, Accenture, Zoho, Freshworks, Amazon and Microsoft, with the role, sector, CTC and eligibility gates for each. I can also rank the best matches for your profile."
is the aduit log tamper proof,admin_audit_log,admin,,General,"Administrative actions are written to a tamper-evident audit log with the actor, action, entity, a contextual snapshot, a timestamp and a hash chain. You can review it from the admin portal."
"excuse me, i want to know my child's progress",parent_ward_progress,parent,,General,"The portal does not have a separate parent login — your ward's attendance, marks, CGPA and fee status are visible when they sign in to their own student account. Your contact details are held on their record. For anything you'd like to raise directly, use the Contact page to reach the Admin Office, the Accounts Office or the HOD, who reply within 1-2 working days."
schedule a notice,admin_publish_notice,admin,,General,"You create a notice with a title, content, category and audience. It can be saved as a draft, published, pinned to the top, given an expiry date, or archived. The summarizer generates a summary, key dates, action items and a priority for it."
"madam, when will Computer Networks marks be published",results_status,student,subject=Computer Networks,Marks,"Results appear once a faculty member publishes the marks they entered; until then they stay hidden. If a subject is missing from your results page, the marks have not been published yet — check the Notices page for the result announcement or contact the Examination Cell."
"please tell me, am i clear of backlogs",backlog_query,student,grade=RA,Marks,"A subject with grade RA (grade point 0, total below 50) counts as a backlog. I can tell you how many backlogs you currently have and which subjects they are in — this also affects placement eligibility, since most recruiters allow zero or at most one backlog."
app settinhs,settings_help,student,,General,The Settings page is where you change your password and manage your account preferences while signed in.
transavtion history,fees_history,student,,Fees,"Your fee record keeps a payment history — each entry has the date, description, amount, mode, transaction reference and whether it has been verified. You can view the full history on the Fees page."
may i upload a question bank,faculty_materials_upload,faculty,month=May,General,"You can upload study materials — notes, question banks or reference files — against a subject, department, semester and section, and your students can then download them from their Coursework page."
do you have books on Data Structures,library_search,student,skill=Data Structures;subject=Data Structures,General,"I can search the library catalogue by title, author or category and tell you whether a copy is Available, Borrowed or Reserved, along with the number of copies. Browse the full catalogue on the Library page."
how do i change my password,password_reset,faculty,,General,"There is no self-service password reset in the portal. If you are locked out, contact the college Admin Office and they will reset it for you. If you are already signed in, you can change your password yourself from the Settings page."
my schedule for today,timetable_today,student,,General,"I can show today's class schedule for your department, semester and section from the published timetable, including the period slots and subjects. Open the Timetable page for the day view."
what are the lobrary hours,library_hours,student,,General,The library is open Monday to Friday from 8:00 AM to 6:00 PM and on Saturday from 9:00 AM to 4:00 PM. It is closed on Sundays and holidays.
is it approved yet,leave_status,student,department=IT,General,"Every leave application is Pending until it is approved or rejected, and the approver can add remarks. I can tell you the current status of your applications; the list is on the Leave page."
give me my leave applications,leave_status,student,,General,"Every leave application is Pending until it is approved or rejected, and the approver can add remarks. I can tell you the current status of your applications; the list is on the Leave page."
per subject attendance record,attendance_subject_wise,student,,Attendance,"I can break your attendance down subject by subject and show which subject is lowest, since the 75% rule applies per subject. The subject-wise table is on the Attendance page."
"hi, any fee notice",notice_search,parent,,General,"Notices are categorised as exam, fee, general, urgent or holiday. I can find notices in a category or matching a topic, and give you the summary, key dates and action items from it."
pending payment verifications,admin_verify_fees,admin,,Fees,"Payments students record show up unverified. From the admin fee view you check each against the bank record and mark it verified, which updates the student's balance. You can also see every student's fee status."
academic schedual for this year,academic_calendar,parent,,General,"The academic calendar lists holidays, exam windows, deadlines, semester boundaries and events with their dates. I can tell you what is coming up; the full calendar is on the Calendar page."
account deactivtaed,account_status,faculty,,General,"An account can be pending approval, approved, rejected with a reason, or deactivated. If your account has been rejected or deactivated you'll see the reason at login — contact the Admin Office to have it reviewed."
"hi, are you a real person",bot_capabilities,admin,,General,"I'm the Campus HelpDesk assistant. I can answer questions about attendance, marks, CGPA and backlogs, timetable, exam schedules and hall tickets, fees and payments, leave and OD, certificate requests, library books and hours, notices, events, faculty and HOD contacts, your profile, placement readiness and eligibility, and the college knowledge base. I answer from your own records, so sign in first."
"hi, faculty remarks on my assignment",coursework_assignments,student,,General,"I can list the assignments your faculty have posted for your department, semester and section — with the title, subject, due date and maximum marks — and tell you whether you have submitted. You submit text or a file attachment from the Coursework page; faculty then grade it and add remarks."
my od current state,od_request,student,leave_type=On Duty (OD) – Event,General,"On Duty is applied for as a leave type — either On Duty (OD) – Event or On Duty (OD) – Training — from the OD page, with dates, a reason and a supporting document. Approved OD is recorded against your leave record."
"can you help me, show my registration number",profile_view,student,,General,"Your profile holds your name, student ID, email, department, year, semester, section, phone, photo and your parent/guardian details. You can view it all on the Profile page."
btw i need leave for two days,leave_apply,student,,General,"You apply for leave from the Leave page by choosing the type — Medical Leave, Personal Leave, Emergency Leave or Family Function — with the from and to dates, a reason, and an optional supporting document. The to date cannot be earlier than the from date. It is submitted as Pending for approval."
"please tell me, how long is the lockout",login_help,parent,,General,"Everyone signs in at the single login page using their registered email or ID and password — the portal detects whether you are a student, faculty member or administrator and takes you to the right dashboard. After 10 failed attempts the account is locked for 15 minutes."
how do i clear my arrear,backlog_query,student,grade=RA,Marks,"A subject with grade RA (grade point 0, total below 50) counts as a backlog. I can tell you how many backlogs you currently have and which subjects they are in — this also affects placement eligibility, since most recruiters allow zero or at most one backlog."
whats my semester gpa,cgpa_query,student,,Marks,"I calculate your CGPA as the credit-weighted average of your grade points across all recorded subjects, on the Anna University 10-point scale (O=10, A+=9, A=8, B+=7, B=6, RA=0). Your CGPA and semester-wise GPA are on the CGPA page."
i need a duplicate degree certificate,alumni_records,alumni,,General,"There is no separate alumni login — the portal serves current students, faculty and staff. For a Provisional Certificate, a Transfer Certificate or a duplicate marksheet after graduation, contact the Admin Office through the Contact page and they will process it for you."
quick question - file upload for materials,faculty_materials_upload,faculty,,General,"You can upload study materials — notes, question banks or reference files — against a subject, department, semester and section, and your students can then download them from their Coursework page."
payment verification status,fees_verification,parent,,Fees,"Every payment you record starts as unverified. The Accounts Office checks it against the bank record and marks it verified, after which your balance reflects it. If a payment has been sitting unverified, contact the Accounts Office through the Contact page."
what is my fee balance,fees_balance,student,,Fees,"I can show your fee record for the semester — the component-wise breakdown, the total, how much is paid, the outstanding balance, the due date and any late fine. The full statement is on the Fees page."
"hi there, history of changes",admin_audit_log,admin,,General,"Administrative actions are written to a tamper-evident audit log with the actor, action, entity, a contextual snapshot, a timestamp and a hash chain. You can review it from the admin portal."
pull up today's periods,timetable_today,student,,General,"I can show today's class schedule for your department, semester and section from the published timetable, including the period slots and subjects. Open the Timetable page for the day view."
"i wanted to ask, thanks a lot",thanks_goodbye,student,,General,"You're welcome! Come back any time you need help with attendance, fees, exams, certificates or anything else on the portal."
what's the ctc for Microsoft,placement_companies,parent,company=Microsoft,Placements,"The placement catalogue covers recruiters including TCS, Wipro, Capgemini, Infosys, Cognizant, Accenture, Zoho, Freshworks, Amazon and Microsoft, with the role, sector, CTC and eligibility gates for each. I can also rank the best matches for your profile."
btw how do i add hostel information,admin_knowledge_manage,admin,,General,"You manage the knowledge base from the admin portal — adding regulations, handbooks, academic rules, placement policy, faculty info and FAQs under categories including Admissions, Attendance, Marks, Exams, Fees, Placements, Faculty, Hostel, Transport and Scholarships. Published documents become answerable by the assistant."
give me class analytics,faculty_analytics,faculty,,General,"The faculty analytics view summarises your classes — attendance trends, mark distributions and how your students are performing across the subjects you handle."
lecturer for DBMS,faculty_directory,student,skill=DBMS;subject=DBMS,Faculty,"I can look up faculty by name or subject and give you their designation, department, the subjects they teach, their email and office location."
attendance statistics for my section,faculty_analytics,faculty,,General,"The faculty analytics view summarises your classes — attendance trends, mark distributions and how your students are performing across the subjects you handle."
library working hours,library_hours,student,office=Library,General,The library is open Monday to Friday from 8:00 AM to 6:00 PM and on Saturday from 9:00 AM to 4:00 PM. It is closed on Sundays and holidays.
download study material,coursework_materials,student,,General,"Faculty upload study materials — notes, question banks and reference files — for your subject, department and semester. I can list what is available and you can download them from the Coursework page."
can i still access my results,alumni_records,alumni,,General,"There is no separate alumni login — the portal serves current students, faculty and staff. For a Provisional Certificate, a Transfer Certificate or a duplicate marksheet after graduation, contact the Admin Office through the Contact page and they will process it for you."
hostel fee,hostel_info,student,,Hostel,"Hostel information is available only through the college knowledge base documents. There is no hostel booking or room allocation module in the portal — I can share what the uploaded hostel documents say, and for anything else you should contact the Admin Office or Student Welfare."
lab exam dates,exam_practicals,student,,Exams,"The published exam record lists practical exams separately with the date, subject, lab and time. You'll find the practicals table alongside the theory schedule on the Exam page."
"hello, receipt history",fees_history,student,,Fees,"Your fee record keeps a payment history — each entry has the date, description, amount, mode, transaction reference and whether it has been verified. You can view the full history on the Fees page."
my request reference number,request_status,alumni,,General,"Your document request moves through Submitted, Under Review, Processing, Ready for Collection and then Completed — or Rejected, with remarks. Track it by its reference number on the Status page."
is there an ai and data sience branch,departments_list,student,,General,"The college has departments including Information Technology, Computer Science and Engineering, Artificial Intelligence and Machine Learning, Artificial Intelligence and Data Science, Bioinformatics, Electronics and Communication, Electrical and Electronics, Mechanical and Civil Engineering."
my faculty timetable,faculty_my_classes,faculty,,General,"Your faculty dashboard lists the subjects assigned to you with the department, semester, section and batch, the students in each class, and your teaching timetable."
balance not reduced ater payment,fees_verification,student,,Fees,"Every payment you record starts as unverified. The Accounts Office checks it against the bank record and marks it verified, after which your balance reflects it. If a payment has been sitting unverified, contact the Accounts Office through the Contact page."
so what's still pending,fees_balance,parent,,Fees,"I can show your fee record for the semester — the component-wise breakdown, the total, how much is paid, the outstanding balance, the due date and any late fine. The full statement is on the Fees page."
"good morning, how long does it take to get a reply",contact_department,student,department=IT,General,"You can send a message to the Admin Office, Examination Cell, Accounts Office, Student Welfare, Library, HOD – IT Department or HOD – CSE Department from the Contact page. You'll receive a response within 1-2 working days."
"one more thing, hod of AIDS",faculty_hod,student,department=AIDS,Faculty,"I can identify the Head of Department for your department — or for any department you name — with their designation, email and office location."
from where do i apply for leave,leave_apply,student,,General,"You apply for leave from the Leave page by choosing the type — Medical Leave, Personal Leave, Emergency Leave or Family Function — with the from and to dates, a reason, and an optional supporting document. The to date cannot be earlier than the from date. It is submitted as Pending for approval."
last date to apply,admission_enquiry,visitor,,Admissions,"The portal doesn't have an online admissions module — it serves enrolled students, faculty and staff. Any admissions information we hold comes from the college knowledge base documents, and admission enquiries should go to the Admin Office through the Contact page."
btw is transport available for all areas,transport_info,parent,,Transport,"Transport information comes from the college knowledge base documents. There is no bus-pass or route booking module in the portal — I can share what the uploaded transport documents say, and for route or pass queries you should contact the Admin Office."
can i unpublish scores,faculty_enter_marks,faculty,,Marks,You enter internal marks (out of 40) and external marks (out of 60) for your assigned subjects; the grade and grade point are computed automatically. Marks stay hidden from students until you publish them.
"can you help me, what skills does Cognizant screen for",placement_skills,student,company=Cognizant,Placements,"I compare the skills on your profile against the skills recruiters screen for, grouped as Programming, CS Fundamentals, Web & Cloud, and Aptitude & Soft skills, and show your coverage plus the gaps to close."
edit parent information,profile_update,faculty,,General,"You can update your phone number, photo and parent/guardian details from the Profile page. Core academic fields like your student ID, department and semester are maintained by the administration — contact the Admin Office to have those corrected."
sorry to bother you but approval process for new accounts,registration_approval,student,,General,"When you register, a student account is created with a Pending status and no login is issued yet. An administrator has to approve it before you can sign in. You'll be able to log in as soon as the approval goes through."
