question,intent,role,entities,expected_response
from where do i add period slots,admin_manage_timetable,admin,,"You build a timetable per department, semester, section and academic year, with the period slots and the subject in each. It starts as a draft, can be checked for clashes, then published so students and faculty see it, and archived when superseded."
top reecruiters,placement_companies,student,,"The placement catalogue covers recruiters including TCS, Wipro, Capgemini, Infosys, Cognizant, Accenture, Zoho, Freshworks, Amazon and Microsoft, with the role, sector, CTC and eligibility gates for each. I can also rank the best matches for your profile."
"hey, appreciate it",thanks_goodbye,student,department=IT,"You're welcome! Come back any time you need help with attendance, fees, exams, certificates or anything else on the portal."
rejeect with a reason,faculty_approve_leave,faculty,,"Leave and OD applications from students appear in your faculty portal, where you can approve or reject them and add remarks. Your decision and name are recorded against the application."
"also, publish exam for semester 5",admin_publish_exam,admin,semester=5,"You create an exam record for a semester and academic year with theory dates, the paper-by-paper schedule, practicals, a hall ticket availability date and instructions. Students see it only after you publish it, and you can archive it later."
"i wanted to ask, upload material for semester 1",faculty_materials_upload,faculty,semester=1,"You can upload study materials — notes, question banks or reference files — against a subject, department, semester and section, and your students can then download them from their Coursework page."
which drives can i attend,placement_eligibility,student,,"Recruiter eligibility is checked against your CGPA, attendance percentage and backlog count. I can tell you which companies you currently qualify for and, for the ones you don't, exactly which criterion falls short."
show me the faculty list,faculty_directory,student,,"I can look up faculty by name or subject and give you their designation, department, the subjects they teach, their email and office location."
give me what you can answer,bot_capabilities,student,,"I'm the Campus HelpDesk assistant. I can answer questions about attendance, marks, CGPA and backlogs, timetable, exam schedules and hall tickets, fees and payments, leave and OD, certificate requests, library books and hours, notices, events, faculty and HOD contacts, your profile, placement readiness and eligibility, and the college knowledge base. I answer from your own records, so sign in first."
leave pending,leave_status,student,,"Every leave application is Pending until it is approved or rejected, and the approver can add remarks. I can tell you the current status of your applications; the list is on the Leave page."
"also, cutoff marks for admission",admission_enquiry,applicant,,"The portal doesn't have an online admissions module — it serves enrolled students, faculty and staff. Any admissions information we hold comes from the college knowledge base documents, and admission enquiries should go to the Admin Office through the Contact page."
"also, developer guide",out_of_scope_technical,student,,"I'm the Campus HelpDesk assistant, so I only help with college services — attendance, marks, fees, exams, certificates, library, notices and the like. I can't discuss how the portal is built or maintained. If something on the portal isn't working, report it to the Admin Office through the Contact page."
leave requests inbox,faculty_approve_leave,faculty,,"Leave and OD applications from students appear in your faculty portal, where you can approve or reject them and add remarks. Your decision and name are recorded against the application."
am i short of attendence,attendance_shortage,student,,"I compare your attendance against the 75% minimum and flag any subject you have fallen short in. Below 75% is high risk, 75-85% is medium and above 85% is low risk. If you are short, the Attendance page shows how many sessions you need to recover, and you should raise it with your class advisor."
show my skull coverage,placement_skills,student,,"I compare the skills on your profile against the skills recruiters screen for, grouped as Programming, CS Fundamentals, Web & Cloud, and Aptitude & Soft skills, and show your coverage plus the gaps to close."
who teaches DBMS,faculty_directory,parent,skill=DBMS;subject=DBMS,"I can look up faculty by name or subject and give you their designation, department, the subjects they teach, their email and office location."
"good morning, filter audit by action",admin_audit_log,admin,,"Administrative actions are written to a tamper-evident audit log with the actor, action, entity, a contextual snapshot, a timestamp and a hash chain. You can review it from the admin portal."
can i see who deleed a record,admin_audit_log,admin,,"Administrative actions are written to a tamper-evident audit log with the actor, action, entity, a contextual snapshot, a timestamp and a hash chain. You can review it from the admin portal."
how prepared am i for campus placement,placement_readiness,student,,"Your placement readiness score weights Academics (CGPA) 40%, Technical Skills 25%, Attendance 20% and Projects 15%, and comes with a risk level. I can show the breakdown and what to strengthen first."
quick question - lab practical schedule,exam_practicals,student,,"The published exam record lists practical exams separately with the date, subject, lab and time. You'll find the practicals table alongside the theory schedule on the Exam page."
new student registration,registration_approval,student,,"When you register, a student account is created with a Pending status and no login is issued yet. An administrator has to approve it before you can sign in. You'll be able to log in as soon as the approval goes through."
"hi there, show my re appear subjects",backlog_query,student,,"A subject with grade RA (grade point 0, total below 50) counts as a backlog. I can tell you how many backlogs you currently have and which subjects they are in — this also affects placement eligibility, since most recruiters allow zero or at most one backlog."
am i able to mark attendance for a past date,faculty_mark_attendance,faculty,,"From the faculty portal you can mark attendance for a class you are assigned to — choosing the subject, date and section, and setting each student to Present, Absent or Late. You can also do it in bulk for the whole class."
test dates,exam_schedule,student,,"I can give you the published exam schedule for your semester — the theory start and end dates, and the date, subject code and session for each paper. Only published schedules are visible. The Exam page has the full table plus the instructions."
and their email id,faculty_directory,visitor,,"I can look up faculty by name or subject and give you their designation, department, the subjects they teach, their email and office location."
show the fees breakdown,fees_balance,student,,"I can show your fee record for the semester — the component-wise breakdown, the total, how much is paid, the outstanding balance, the due date and any late fine. The full statement is on the Fees page."
who verifies the fee payment,fees_verification,parent,,"Every payment you record starts as unverified. The Accounts Office checks it against the bank record and marks it verified, after which your balance reflects it. If a payment has been sitting unverified, contact the Accounts Office through the Contact page."
can i get od for a placement drive,od_request,student,leave_type=On Duty (OD) – Event,"On Duty is applied for as a leave type — either On Duty (OD) – Event or On Duty (OD) – Training — from the OD page, with dates, a reason and a supporting document. Approved OD is recorded against your leave record."
show my patment history,fees_history,parent,,"Your fee record keeps a payment history — each entry has the date, description, amount, mode, transaction reference and whether it has been verified. You can view the full history on the Fees page."
how do you calculate cgpa,cgpa_query,student,,"I calculate your CGPA as the credit-weighted average of your grade points across all recorded subjects, on the Anna University 10-point scale (O=10, A+=9, A=8, B+=7, B=6, RA=0). Your CGPA and semester-wise GPA are on the CGPA page."
i want to vosit the department,visitor_campus_info,visitor,,"I mainly serve signed-in students, faculty and staff. For general enquiries — visiting the campus, meeting a department or reaching an office — you can use the Contact page to message the Admin Office, and the library is open Monday to Friday 8:00 AM to 6:00 PM and Saturday 9:00 AM to 4:00 PM."
where do i register a grievance,contact_department,alumni,,"You can send a message to the Admin Office, Examination Cell, Accounts Office, Student Welfare, Library, HOD – IT Department or HOD – CSE Department from the Contact page. You'll receive a response within 1-2 working days."
practical exam schedule,exam_practicals,student,,"The published exam record lists practical exams separately with the date, subject, lab and time. You'll find the practicals table alongside the theory schedule on the Exam page."
and how much have i already paid,fees_balance,parent,,"I can show your fee record for the semester — the component-wise breakdown, the total, how much is paid, the outstanding balance, the due date and any late fine. The full statement is on the Fees page."
sorry to bother you but last date to apply,admission_enquiry,visitor,,"The portal doesn't have an online admissions module — it serves enrolled students, faculty and staff. Any admissions information we hold comes from the college knowledge base documents, and admission enquiries should go to the Admin Office through the Contact page."
what is my overall attendance for this semester,attendance_check,student,,"I can show your overall attendance percentage, calculated across every session recorded for you (Late is counted as present). The college requires a minimum of 75% per subject. Full details are on the Attendance page of your student portal."
can i see who deleted a record,admin_audit_log,admin,,"Administrative actions are written to a tamper-evident audit log with the actor, action, entity, a contextual snapshot, a timestamp and a hash chain. You can review it from the admin portal."
my access has been removed,account_status,student,,"An account can be pending approval, approved, rejected with a reason, or deactivated. If your account has been rejected or deactivated you'll see the reason at login — contact the Admin Office to have it reviewed."
did my cgpa improve,cgpa_query,student,,"I calculate your CGPA as the credit-weighted average of your grade points across all recorded subjects, on the Anna University 10-point scale (O=10, A+=9, A=8, B+=7, B=6, RA=0). Your CGPA and semester-wise GPA are on the CGPA page."
seats available,admission_enquiry,parent,,"The portal doesn't have an online admissions module — it serves enrolled students, faculty and staff. Any admissions information we hold comes from the college knowledge base documents, and admission enquiries should go to the Admin Office through the Contact page."
my grades for Cloud Computing,marks_view,student,subject=Cloud Computing,"I can show your internal marks (out of 40), external marks (out of 60) and the total out of 100 for each subject, along with the grade. The pass mark is 50. Marks a faculty member has entered stay hidden until they are published. See the Results page for the full mark sheet."
which lab is my practical in,exam_practicals,student,,"The published exam record lists practical exams separately with the date, subject, lab and time. You'll find the practicals table alongside the theory schedule on the Exam page."
what is holding back my placment readiness,placement_readiness,student,,"Your placement readiness score weights Academics (CGPA) 40%, Technical Skills 25%, Attendance 20% and Projects 15%, and comes with a risk level. I can show the breakdown and what to strengthen first."
"one more thing, how many days leave can i take",leave_apply,student,,"You apply for leave from the Leave page by choosing the type — Medical Leave, Personal Leave, Emergency Leave or Family Function — with the from and to dates, a reason, and an optional supporting document. The to date cannot be earlier than the from date. It is submitted as Pending for approval."
give me my attendance record summary,attendance_check,student,,"I can show your overall attendance percentage, calculated across every session recorded for you (Late is counted as present). The college requires a minimum of 75% per subject. Full details are on the Attendance page of your student portal."
could you tell me the date of the next event,events_list,faculty,,"I can list upcoming campus events with their category — Technical, Cultural, Sports, Workshop or Seminar — plus the date, time, venue, organizer and how many seats are left. The Events page has the full list."
"hi, class average",faculty_analytics,faculty,,"The faculty analytics view summarises your classes — attendance trends, mark distributions and how your students are performing across the subjects you handle."
"hello, leave rejected reason",leave_status,student,,"Every leave application is Pending until it is approved or rejected, and the approver can add remarks. I can tell you the current status of your applications; the list is on the Leave page."
"just checking, show Workshop events",events_list,student,event_category=Workshop,"I can list upcoming campus events with their category — Technical, Cultural, Sports, Workshop or Seminar — plus the date, time, venue, organizer and how many seats are left. The Events page has the full list."
can i unpublish marks,faculty_enter_marks,faculty,,You enter internal marks (out of 40) and external marks (out of 60) for your assigned subjects; the grade and grade point are computed automatically. Marks stay hidden from students until you publish them.
tuition fee waievr,scholarship_info,parent,,"Scholarship information is available from the college knowledge base documents. There is no scholarship application module in the portal — I can share what the uploaded scholarship documents say, and applications are handled by the Admin Office. Note that a Bonafide Certificate for a scholarship application can be requested from the Requests page."
mark a pamyent as verified,admin_verify_fees,admin,,"Payments students record show up unverified. From the admin fee view you check each against the bank record and mark it verified, which updates the student's balance. You can also see every student's fee status."
which subject test is on Saturday,exam_schedule,student,day=Saturday,"I can give you the published exam schedule for your semester — the theory start and end dates, and the date, subject code and session for each paper. Only published schedules are visible. The Exam page has the full table plus the instructions."
lab practical timings,exam_practicals,student,,"The published exam record lists practical exams separately with the date, subject, lab and time. You'll find the practicals table alongside the theory schedule on the Exam page."
fee veification queue,admin_verify_fees,admin,,"Payments students record show up unverified. From the admin fee view you check each against the bank record and mark it verified, which updates the student's balance. You can also see every student's fee status."
do i meet the criteria for Wipro,placement_eligibility,student,company=Wipro,"Recruiter eligibility is checked against your CGPA, attendance percentage and backlog count. I can tell you which companies you currently qualify for and, for the ones you don't, exactly which criterion falls short."
hod office location,faculty_hod,visitor,,"I can identify the Head of Department for your department — or for any department you name — with their designation, email and office location."
which branches does the colege have,departments_list,student,,"The college has departments including Information Technology, Computer Science and Engineering, Artificial Intelligence and Machine Learning, Artificial Intelligence and Data Science, Bioinformatics, Electronics and Communication, Electrical and Electronics, Mechanical and Civil Engineering."
quick question - account suspended,account_status,student,,"An account can be pending approval, approved, rejected with a reason, or deactivated. If your account has been rejected or deactivated you'll see the reason at login — contact the Admin Office to have it reviewed."
quick question - reach out to the college,contact_department,student,,"You can send a message to the Admin Office, Examination Cell, Accounts Office, Student Welfare, Library, HOD – IT Department or HOD – CSE Department from the Contact page. You'll receive a response within 1-2 working days."
attendance trend for my class,faculty_analytics,faculty,,"The faculty analytics view summarises your classes — attendance trends, mark distributions and how your students are performing across the subjects you handle."
mionrity scholarship,scholarship_info,parent,,"Scholarship information is available from the college knowledge base documents. There is no scholarship application module in the portal — I can share what the uploaded scholarship documents say, and applications are handled by the Admin Office. Note that a Bonafide Certificate for a scholarship application can be requested from the Requests page."
edit exam schedule,admin_publish_exam,admin,,"You create an exam record for a semester and academic year with theory dates, the paper-by-paper schedule, practicals, a hall ticket availability date and instructions. Students see it only after you publish it, and you can archive it later."
"madam, add practical exam dates",admin_publish_exam,admin,,"You create an exam record for a semester and academic year with theory dates, the paper-by-paper schedule, practicals, a hall ticket availability date and instructions. Students see it only after you publish it, and you can archive it later."
where is the student handbook,knowledge_base_query,student,,"I can search the college knowledge base — regulations, handbooks, academic rules, placement policy and FAQs — and answer with the relevant section, citing the document it came from."
where is their cabin,faculty_directory,parent,,"I can look up faculty by name or subject and give you their designation, department, the subjects they teach, their email and office location."
"one more thing, my fee payment is not updated",fees_verification,parent,,"Every payment you record starts as unverified. The Accounts Office checks it against the bank record and marks it verified, after which your balance reflects it. If a payment has been sitting unverified, contact the Accounts Office through the Contact page."
how long will that take,password_reset,admin,,"There is no self-service password reset in the portal. If you are locked out, contact the college Admin Office and they will reset it for you. If you are already signed in, you can change your password yourself from the Settings page."
sorry to bother you but due date for semester 1 fees,fees_due_date,student,semester=1,Your fee record carries a due date and a late fine amount. If payment goes past the due date the late fine applies. I can tell you the due date on your record; it is also shown on the Fees page.
"hey, hod email id",faculty_hod,visitor,,"I can identify the Head of Department for your department — or for any department you name — with their designation, email and office location."
how should i speed up my approval,registration_approval,applicant,,"When you register, a student account is created with a Pending status and no login is issued yet. An administrator has to approve it before you can sign in. You'll be able to log in as soon as the approval goes through."
"hi, leave approval history",faculty_approve_leave,faculty,,"Leave and OD applications from students appear in your faculty portal, where you can approve or reject them and add remarks. Your decision and name are recorded against the application."
can i aoply online,admission_enquiry,visitor,payment_mode=Online,"The portal doesn't have an online admissions module — it serves enrolled students, faculty and staff. Any admissions information we hold comes from the college knowledge base documents, and admission enquiries should go to the Admin Office through the Contact page."
circular summary generation,admin_publish_notice,admin,,"You create a notice with a title, content, category and audience. It can be saved as a draft, published, pinned to the top, given an expiry date, or archived. The summarizer generates a summary, key dates, action items and a priority for it."
how to reach the examination cell,contact_department,student,office=Examination Cell,"You can send a message to the Admin Office, Examination Cell, Accounts Office, Student Welfare, Library, HOD – IT Department or HOD – CSE Department from the Contact page. You'll receive a response within 1-2 working days."
add a subject to the exam schedule,admin_publish_exam,admin,,"You create an exam record for a semester and academic year with theory dates, the paper-by-paper schedule, practicals, a hall ticket availability date and instructions. Students see it only after you publish it, and you can archive it later."
boys hostal,hostel_info,parent,,"Hostel information is available only through the college knowledge base documents. There is no hostel booking or room allocation module in the portal — I can share what the uploaded hostel documents say, and for anything else you should contact the Admin Office or Student Welfare."
i am unnable to log in,login_help,student,,"Everyone signs in at the single login page using their registered email or ID and password — the portal detects whether you are a student, faculty member or administrator and takes you to the right dashboard. After 10 failed attempts the account is locked for 15 minutes."
"excuse me, publish the timetable",admin_manage_timetable,admin,,"You build a timetable per department, semester, section and academic year, with the period slots and the subject in each. It starts as a draft, can be checked for clashes, then published so students and faculty see it, and archived when superseded."
what role does Capgemini offer,placement_companies,student,company=Capgemini,"The placement catalogue covers recruiters including TCS, Wipro, Capgemini, Infosys, Cognizant, Accenture, Zoho, Freshworks, Amazon and Microsoft, with the role, sector, CTC and eligibility gates for each. I can also rank the best matches for your profile."
how do i enter marks for section b,faculty_enter_marks,faculty,,You enter internal marks (out of 40) and external marks (out of 60) for your assigned subjects; the grade and grade point are computed automatically. Marks stay hidden from students until you publish them.
"sir, when are semester results declared",results_status,student,,"Results appear once a faculty member publishes the marks they entered; until then they stay hidden. If a subject is missing from your results page, the marks have not been published yet — check the Notices page for the result announcement or contact the Examination Cell."
renew my borrowed book,library_renew,faculty,,You can request a renewal for a borrowed book from the Library page. The system records the request and the librarian confirms it within 24 hours.
may i get updates about my ward,parent_ward_progress,parent,month=May,"The portal does not have a separate parent login — your ward's attendance, marks, CGPA and fee status are visible when they sign in to their own student account. Your contact details are held on their record. For anything you'd like to raise directly, use the Contact page to reach the Admin Office, the Accounts Office or the HOD, who reply within 1-2 working days."
and how long will it take,certificate_request,alumni,department=IT,"You can request a Bonafide Certificate, Transfer Certificate, Migration Certificate, Conduct Certificate, Provisional Certificate, a Marksheet or another document from the Requests page, stating the purpose and an urgency of Normal, Urgent or Emergency. Each request gets a unique reference number."
is there an email link to reset password,password_reset,student,,"There is no self-service password reset in the portal. If you are locked out, contact the college Admin Office and they will reset it for you. If you are already signed in, you can change your password yourself from the Settings page."
"good morning, marks entry for Data Structures",faculty_enter_marks,faculty,skill=Data Structures;subject=Data Structures,You enter internal marks (out of 40) and external marks (out of 60) for your assigned subjects; the grade and grade point are computed automatically. Marks stay hidden from students until you publish them.
app settings,settings_help,faculty,,The Settings page is where you change your password and manage your account preferences while signed in.
"hi there, publish an announcement",admin_publish_notice,admin,,"You create a notice with a title, content, category and audience. It can be saved as a draft, published, pinned to the top, given an expiry date, or archived. The summarizer generates a summary, key dates, action items and a priority for it."
search announcements for DBMS,notice_search,student,skill=DBMS;subject=DBMS,"Notices are categorised as exam, fee, general, urgent or holiday. I can find notices in a category or matching a topic, and give you the summary, key dates and action items from it."
"can you help me, hello bot",greeting,student,,"Hello! I'm Campus HelpDesk, your college assistant. I can help with attendance, marks and CGPA, timetable, exams, fees, leave and OD, certificates, library, notices, events, faculty contacts and placements. What would you like to know?"
"hey, am i eligible for Freshworks",placement_eligibility,student,company=Freshworks,"Recruiter eligibility is checked against your CGPA, attendance percentage and backlog count. I can tell you which companies you currently qualify for and, for the ones you don't, exactly which criterion falls short."
what percentage do i need to get in,admission_enquiry,applicant,,"The portal doesn't have an online admissions module — it serves enrolled students, faculty and staff. Any admissions information we hold comes from the college knowledge base documents, and admission enquiries should go to the Admin Office through the Contact page."
"kindly let me know, close an assignment",faculty_assignments_manage,faculty,,"You can create assignments with a title, subject, due date and maximum marks, view the submissions from your students, download what they attached, and grade each submission with marks and remarks."
how do i record absentees,faculty_mark_attendance,faculty,,"From the faculty portal you can mark attendance for a class you are assigned to — choosing the subject, date and section, and setting each student to Present, Absent or Late. You can also do it in bulk for the whole class."
how many Web Technology classes have i missed,attendance_subject_wise,student,subject=Web Technology,"I can break your attendance down subject by subject and show which subject is lowest, since the 75% rule applies per subject. The subject-wise table is on the Attendance page."
any urgent circular,notices_latest,student,urgency=Urgent,"I can show the latest published notices, with pinned ones first. Each notice carries a category, an AI-generated summary, key dates and action items. The full list is on the Notices page."
how many have i paid so far,fees_balance,parent,,"I can show your fee record for the semester — the component-wise breakdown, the total, how much is paid, the outstanding balance, the due date and any late fine. The full statement is on the Fees page."
is the library open today,library_hours,student,office=Library,The library is open Monday to Friday from 8:00 AM to 6:00 PM and on Saturday from 9:00 AM to 4:00 PM. It is closed on Sundays and holidays.
sgpa for this semester,cgpa_query,student,,"I calculate your CGPA as the credit-weighted average of your grade points across all recorded subjects, on the Anna University 10-point scale (O=10, A+=9, A=8, B+=7, B=6, RA=0). Your CGPA and semester-wise GPA are on the CGPA page."
what's my success score out of 100,performance_summary,student,,"Your Student Success Score is out of 100 and combines attendance health, academic performance (CGPA and backlogs), placement readiness and engagement. I can give you the score, the sub-scores and the top recommendation for improving it. It's on your dashboard."
view the calendar,academic_calendar,parent,,"The academic calendar lists holidays, exam windows, deadlines, semester boundaries and events with their dates. I can tell you what is coming up; the full calendar is on the Calendar page."
"i wanted to ask, is my hall ticket available",exam_hall_ticket,student,,"The published exam record carries a hall ticket availability date. Once that date arrives, the hall ticket becomes available on the Exam page. Hall tickets are usually withheld if there is a pending fee balance or an attendance shortage, so clear those first."
what did the college announce,notices_latest,student,,"I can show the latest published notices, with pinned ones first. Each notice carries a category, an AI-generated summary, key dates and action items. The full list is on the Notices page."
"i wanted to ask, delete an assignment",faculty_assignments_manage,faculty,,"You can create assignments with a title, subject, due date and maximum marks, view the submissions from your students, download what they attached, and grade each submission with marks and remarks."
show practical examinations,exam_practicals,student,,"The published exam record lists practical exams separately with the date, subject, lab and time. You'll find the practicals table alongside the theory schedule on the Exam page."
fqculty analytics dashboard,faculty_analytics,faculty,,"The faculty analytics view summarises your classes — attendance trends, mark distributions and how your students are performing across the subjects you handle."
action history,admin_audit_log,admin,,"Administrative actions are written to a tamper-evident audit log with the actor, action, entity, a contextual snapshot, a timestamp and a hash chain. You can review it from the admin portal."
